rho,model,paired_trials,sat_mean,control_mean,mean_paired_difference,ci95_low,ci95_high,positive_pairs
1.0,Size-matched null,30,0.6223797720797719,0.42286131963045065,0.19951845244932148,0.18639819918057443,0.21263870571806853,30
1.5,Size-matched null,30,0.6314444660277994,0.36110450738815014,0.2703399586396492,0.26332892328576846,0.27735099399352997,30
2.0,Size-matched null,30,0.6165859856193189,0.30782222870414083,0.30876375691517804,0.30222164891586284,0.31530586491449325,30
2.5,Size-matched null,30,0.5938441015774348,0.2664907039973759,0.327353397580059,0.32029543740969363,0.33441135775042435,30
3.0,Size-matched null,30,0.5882128100294766,0.23805900570758515,0.3501538043218915,0.34286047149920795,0.3574471371445751,30
3.5,Size-matched null,30,0.5756846326512993,0.21629600101470625,0.35938863163659307,0.35514921484956885,0.3636280484236173,30
4.0,Size-matched null,30,0.5684458988542322,0.20660904320112058,0.3618368556531115,0.35716865323158725,0.3665050580746358,30
4.5,Size-matched null,30,0.5640345925679259,0.19644903320102786,0.367585559366898,0.3643959818009793,0.3707751369328167,30
5.0,Size-matched null,30,0.5579271629967708,0.19131762178923137,0.3666095412075396,0.36328238931815726,0.3699366930969219,30
3.0,Degree-and-size-preserving rewired,30,0.5882128100294766,0.22847257196560658,0.3597402380638701,0.3539442113723455,0.36553626475539475,30
